taxonID;name
220682;Betula nana
264516;Betula nana subsp. nana
221929;Parnassia palustris
836;Hypericum humifusum
221977;Hypericum maculatum
221980;Hypericum perforatum
1887;Hypericum tetrapterum
1661;Viola alba
221994;Viola biflora
221995;Viola canina
224375;Viola canina subsp. canina
224382;Viola canina subsp. montana
1662;Viola collina
1663;Viola elatior
222000;Viola hirta
222006;Viola pumila
222009;Viola rupestris
224409;Viola rupestris subsp. rupestris
265531;Viola rupestris var. glaberrima
224412;Viola rupestris var. rupestris
222005;Viola stagnina
222011;Viola tricolor
1955;Viola tricolor subsp. curtisii
224415;Viola tricolor subsp. tricolor
1666;Viola uliginosa
225057;Populus × ontariensis
223281;Salix arbuscula
223268;Salix × arctogena
1931;Salix daphnoides
6040100;Salix daphnoides var. daphnoides
223291;Salix glauca
225130;Salix glauca subsp. glauca
225131;Salix glauca subsp. stipulifera
223292;Salix hastata
225137;Salix hastata subsp. hastata
225139;Salix hastata subsp. subintegrifolia
1932;Salix hastata subsp. vegeta
223293;Salix herbacea
223294;Salix lanata
225150;Salix lanata subsp. glandulifera
225151;Salix lanata subsp. lanata
223295;Salix lapponum
223296;Salix myrsinifolia
225162;Salix myrsinifolia subsp. myrsinifolia
223297;Salix myrsinites
223300;Salix phylicifolia
223301;Salix polaris
225175;Salix repens subsp. rosmarinifolia
223304;Salix reticulata
221956;Euphorbia cyparissias
625;Euphorbia exigua
221968;Euphorbia palustris
221027;Linum austriacum
221983;Linum catharticum
1910;Radiola linoides
221460;Erodium cicutarium
221472;Geranium dissectum
221478;Geranium molle
708;Geranium palustre
221481;Geranium pratense
221483;Geranium pusillum
221484;Geranium pyrenaicum
221485;Geranium robertianum
224212;Geranium robertianum var. robertianum
221487;Geranium sanguineum
221489;Geranium sylvaticum
1896;Lythrum portula
222087;Lythrum salicaria
221090;Epilobium adenocaulon
222062;Epilobium anagallidifolium
222066;Epilobium davuricum
222068;Epilobium hirsutum
222069;Epilobium hornemannii
222071;Epilobium lactiflorum
222075;Epilobium obscurum
222076;Epilobium palustre
224484;Epilobium palustre var. lapponicum
224485;Epilobium palustre var. palustre
222077;Epilobium parviflorum
222078;Epilobium roseum
222032;Malva alcea
222034;Malva moschata
1013;Malva pusilla
222039;Malva sylvestris
224425;Malva sylvestris subsp. sylvestris
919;Malva thuringiaca
224421;Malva thuringiaca subsp. thuringiaca
1884;Fumana procumbens
220164;Helianthemum nummularium
224416;Helianthemum nummularium subsp. nummularium
224417;Helianthemum nummularium subsp. obscurum
1886;Helianthemum oelandicum
224418;Helianthemum oelandicum var. canescens
224419;Helianthemum oelandicum var. oelandicum
219556;Alliaria petiolata
1852;Alyssum alyssoides
220417;Arabidopsis thaliana
220419;Arabis alpina
223809;Arabis alpina var. alpina
223810;Arabis alpina var. glabrata
220421;Arabis caucasica
220423;Arabis hirsuta
223812;Arabis hirsuta var. hirsuta
223813;Arabis hirsuta var. subalpestris
221602;Barbarea intermedia
220433;Barbarea vulgaris
223815;Barbarea vulgaris var. arcuata
223332;Berteroa incana
220447;Bunias orientalis
219648;Capsella bursa-pastoris
221178;Cardamine amara
220459;Cardamine bellidifolia
254;Cardamine parviflora
220467;Cardamine pratensis
223838;Cardamine pratensis subsp. angustifolia
223837;Cardamine pratensis subsp. paludosa
223839;Cardamine pratensis subsp. pratensis
220491;Draba alpina
562;Draba crassifolia
1876;Draba fladnizensis
220494;Draba glabella
265598;Draba glabella var. glabella
220496;Draba incana
